last_name,first_name,middle_name,suffix,nickname,full_name,type,state,district,party,twitter,twitter_id,facebook,youtube,mastodon,ballotpedia_id,washington_post_id,wikipedia_id
Cramer,Kevin,,,,Kevin Cramer,sen,ND,,Republican,SenKevinCramer,1048784496,CongressmanKevinCramer,kevincramer,,Kevin Cramer,,Kevin Cramer
Fischer,Deb,,,,Deb Fischer,sen,NE,,Republican,SenatorFischer,1071402577,senatordebfischer,senatordebfischer,,Deb Fischer,,Deb Fischer
Kuster,Ann,M.,,,Ann M. Kuster,rep,NH,2,Democrat,RepAnnieKuster,1058717720,CongresswomanAnnieKuster,RepKuster,,Annie Kuster,,Annie Kuster
Meng,Grace,,,,Grace Meng,rep,NY,6,Democrat,RepGraceMeng,1051127714,repgracemeng,,,Grace Meng,,Grace Meng
Jeffries,Hakeem,S.,,,Hakeem S. Jeffries,rep,NY,8,Democrat,RepJeffries,467823431,RepHakeemJeffries,,,Hakeem Jeffries,,Hakeem Jeffries
Wenstrup,Brad,R.,,,Brad R. Wenstrup,rep,OH,2,Republican,RepBradWenstrup,518644221,RepBradWenstrup,repbradwenstrup,,Brad Wenstrup,,Brad Wenstrup
Beatty,Joyce,,,,Joyce Beatty,rep,OH,3,Democrat,RepBeatty,1531521632,RepJoyceBeatty,,,Joyce Beatty,,Joyce Beatty
Joyce,David,P.,,,David P. Joyce,rep,OH,14,Republican,RepDaveJoyce,976969338,RepDaveJoyce,repdavejoyce,,David Joyce,,David Joyce (politician)
Mullin,Markwayne,,,,Markwayne Mullin,sen,OK,,Republican,SenMullin,1060370282,RepMullin,,,Markwayne Mullin,,Markwayne Mullin
Perry,Scott,,,,Scott Perry,rep,PA,10,Republican,RepScottPerry,18773159,repscottperry,RepScottPerry,,Scott Perry,,Scott Perry (politician)
Cartwright,Matthew,A.,,Matt,Matt Cartwright,rep,PA,8,Democrat,RepCartwright,776664410,CongressmanMattCartwright,,,Matt Cartwright,,Matt Cartwright
Cruz,Ted,,,,Ted Cruz,sen,TX,,Republican,SenTedCruz,1074480192,SenatorTedCruz,sentedcruz,,Ted Cruz,,Ted Cruz
Weber,Randy,K.,Sr.,,"Randy K. Weber, Sr.",rep,TX,14,Republican,TXRandy14,1058051748,TXRandy14,TXRandy14,,Randy Weber,,Randy Weber
Castro,Joaquin,,,,Joaquin Castro,rep,TX,20,Democrat,JoaquinCastrotx,231510077,3.26421E+14,JoaquinCastroTX,@Joaquincastrotx@mastodon.social,Joaquin Castro,,Joaquin Castro
Williams,Roger,,,,Roger Williams,rep,TX,25,Republican,RepRWilliams,1077446982,RepRogerWilliams,,,Roger Williams,,Roger Williams (Texas politician)
Veasey,Marc,A.,,,Marc A. Veasey,rep,TX,33,Democrat,RepVeasey,1074129612,CongressmanMarcVeasey,marcveasey,,Marc Veasey,,Marc Veasey
Stewart,Chris,,,,Chris Stewart,rep,UT,2,Republican,RepChrisStewart,1072008757,RepChrisStewart,repchrisstewart,,Chris Stewart,,Chris Stewart (politician)
Kaine,Timothy,,,Tim,Tim Kaine,sen,VA,,Democrat,,,SenatorKaine,SenatorTimKaine,,Tim Kaine,,Tim Kaine
Kilmer,Derek,,,,Derek Kilmer,rep,WA,6,Democrat,RepDerekKilmer,1058917562,derek.kilmer,,,Derek Kilmer,,Derek Kilmer
Pocan,Mark,,,,Mark Pocan,rep,WI,2,Democrat,RepMarkPocan,1206227149,repmarkpocan,repmarkpocan,,Mark Pocan,,Mark Pocan
Kelly,Robin,L.,,,Robin L. Kelly,rep,IL,2,Democrat,RepRobinKelly,1339931490,reprobinkelly,,,Robin Kelly,,Robin Kelly
Smith,Jason,T.,,,Jason Smith,rep,MO,8,Republican,RepJasonSmith,1623308912,repjasonsmith,RepJasonSmith,,Jason Smith (Missouri representative),,Jason Smith (American politician)
Booker,Cory,Anthony,,,Cory A. Booker,sen,NJ,,Democrat,SenBooker,2167097881,,SenCoryBooker,,Cory Booker,,Cory Booker
Clark,Katherine,M.,,,Katherine M. Clark,rep,MA,5,Democrat,RepKClark,2293131060,CongresswomanClark,,,Katherine Clark,,Katherine Clark
Norcross,Donald,W.,,,Donald Norcross,rep,NJ,1,Democrat,DonaldNorcross,3122099613,DonaldNorcrossNJ,,,Donald Norcross,,Donald Norcross
Adams,Alma,S.,,,Alma S. Adams,rep,NC,12,Democrat,RepAdams,2916086925,CongresswomanAdams,,@RepAdams@mastodon.social,Alma Adams,,Alma Adams
Palmer,Gary,J.,,,Gary J. Palmer,rep,AL,6,Republican,USRepGaryPalmer,2861616083,CongressmanGaryPalmer,,,Gary Palmer,,Gary Palmer (politician)
Hill,J.,French,,,J. French Hill,rep,AR,2,Republican,RepFrenchHill,2953974395,RepFrenchHill,,,French Hill,,French Hill (politician)
Westerman,Bruce,,,,Bruce Westerman,rep,AR,4,Republican,RepWesterman,2852998461,RepWesterman,,,Bruce Westerman,,Bruce Westerman
Gallego,Ruben,,,,Ruben Gallego,rep,AZ,3,Democrat,RepRubenGallego,2966570782,RepRubenGallego,,,Ruben Gallego,,Ruben Gallego
DeSaulnier,Mark,,,,Mark DeSaulnier,rep,CA,10,Democrat,RepDeSaulnier,2968007206,RepMarkDeSaulnier,,,Mark DeSaulnier,,Mark DeSaulnier
Aguilar,Pete,,,,Pete Aguilar,rep,CA,33,Democrat,RepPeteAguilar,3018670151,reppeteaguilar,,,Pete Aguilar,,Pete Aguilar
Lieu,Ted,,,,Ted Lieu,rep,CA,36,Democrat,RepTedLieu,3044993235,RepTedLieu,,,Ted Lieu,,Ted Lieu
Torres,Norma,J.,,,Norma J. Torres,rep,CA,35,Democrat,NormaJTorres,236279233,RepNormaTorres,,@repnormatorres@mstdn.social,Norma Torres,,Norma Torres
Buck,Ken,,,,Ken Buck,rep,CO,4,Republican,RepKenBuck,2862577383,repkenbuck,,,Ken Buck,,Ken Buck
Carter,Earl,L.,,Buddy,"Earl L. ""Buddy"" Carter",rep,GA,1,Republican,RepBuddyCarter,2973870195,congressmanbuddycarter,,,"Earl ""Buddy"" Carter",,Buddy Carter
Loudermilk,Barry,,,,Barry Loudermilk,rep,GA,11,Republican,RepLoudermilk,2914163523,reploudermilk,,,Barry Loudermilk,,Barry Loudermilk
Allen,Rick,W.,,,Rick W. Allen,rep,GA,12,Republican,RepRickAllen,2964287128,CongressmanRickAllen,,,Rick Allen,,Rick Allen (politician)
Bost,Mike,,,,Mike Bost,rep,IL,12,Republican,RepBost,2964877294,RepBost,,,Mike Bost,,Mike Bost
Graves,Garret,,,,Garret Graves,rep,LA,6,Republican,RepGarretGraves,2951574214,CongressmanGarretGraves,,,Garret Graves,,Garret Graves
Moulton,Seth,,,,Seth Moulton,rep,MA,6,Democrat,RepMoulton,3091316093,CongressmanSethMoulton,,,Seth Moulton,,Seth Moulton
Moolenaar,John,R.,,,John R. Moolenaar,rep,MI,2,Republican,RepMoolenaar,2696643955,RepMoolenaar,,,John Moolenaar,,John Moolenaar
Dingell,Debbie,,,,Debbie Dingell,rep,MI,6,Democrat,RepDebDingell,2970279814,RepDebbieDingell,,,Debbie Dingell,,Debbie Dingell
Emmer,Tom,,,,Tom Emmer,rep,MN,6,Republican,RepTomEmmer,2914515430,reptomemmer,RepTomEmmer,,Tom Emmer,,Tom Emmer
Rouzer,David,,,,David Rouzer,rep,NC,7,Republican,RepDavidRouzer,834069080,RepRouzer,,,David Rouzer,,David Rouzer
Watson Coleman,Bonnie,,,,Bonnie Watson Coleman,rep,NJ,12,Democrat,RepBonnie,2968451607,RepBonnie,,,,,Bonnie Watson Coleman
Stefanik,Elise,M.,,,Elise M. Stefanik,rep,NY,21,Republican,RepStefanik,2962813893,RepEliseStefanik,,,Elise Stefanik,,Elise Stefanik
Boyle,Brendan,F.,,,Brendan F. Boyle,rep,PA,2,Democrat,CongBoyle,4304448314,CongressmanBoyle,,,Brendan Boyle,,Brendan Boyle
Babin,Brian,,,,Brian Babin,rep,TX,36,Republican,RepBrianBabin,2929491549,RepBrianBabin,,,Brian Babin,,Brian Babin
Beyer,Donald,S.,Jr.,,"Donald S. Beyer, Jr.",rep,VA,8,Democrat,RepDonBeyer,2962868158,RepDonBeyer,,@RepDonBeyer@mas.to,Don Beyer,,Don Beyer
Plaskett,Stacey,E.,,,Stacey E. Plaskett,rep,VI,0,Democrat,StaceyPlaskett,2724095695,repstaceyplaskett,,,,,Stacey Plaskett
Newhouse,Dan,,,,Dan Newhouse,rep,WA,4,Republican,RepNewhouse,2930635215,RepNewhouse,,,Dan Newhouse,,Dan Newhouse
Grothman,Glenn,,,,Glenn Grothman,rep,WI,6,Republican,RepGrothman,2976606250,RepGrothman,,,Glenn Grothman,,Glenn Grothman
Mooney,Alexander,X.,,,Alexander X. Mooney,rep,WV,2,Republican,RepAlexMooney,2964526557,CongressmanAlexMooney,,,Alexander Mooney,,Alex Mooney
Radewagen,Aumua Amata,Coleman,,,Aumua Amata Coleman Radewagen,rep,AS,0,Republican,RepAmata,3026622545,aumuaamata,,,Amata Radewagen,,Amata Coleman Radewagen
Sullivan,Dan,,,,Dan Sullivan,sen,AK,,Republican,SenDanSullivan,2891210047,SenDanSullivan,,,Daniel S. Sullivan,,Dan Sullivan (U.S. senator)
Ernst,Joni,,,,Joni Ernst,sen,IA,,Republican,SenJoniErnst,2856787757,senjoniernst,,,Joni Ernst,,Joni Ernst
Tillis,Thom,,,,Thom Tillis,sen,NC,,Republican,SenThomTillis,2964174789,SenatorThomTillis,,,Thom Tillis (North Carolina),,Thom Tillis
Rounds,Mike,,,,Mike Rounds,sen,SD,,Republican,SenatorRounds,2955485182,SenatorMikeRounds,,,Mike Rounds,,Mike Rounds
Kelly,Trent,,,,Trent Kelly,rep,MS,1,Republican,RepTrentKelly,3317799825,reptrentkelly,,,Trent Kelly,,Trent Kelly
LaHood,Darin,,,,Darin LaHood,rep,IL,16,Republican,RepLaHood,3686482216,replahood,,,Darin LaHood,,Darin LaHood
Davidson,Warren,,,,Warren Davidson,rep,OH,8,Republican,WarrenDavidson,7.42736E+17,CongressmanWarrenDavidson,,,Warren Davidson,,Warren Davidson
Comer,James,,,,James Comer,rep,KY,1,Republican,RepJamesComer,1.27485E+18,congressmancomer,,,James Comer Jr.,,James Comer (politician)
Evans,Dwight,,,,Dwight Evans,rep,PA,3,Democrat,RepDwightEvans,90639372,RepDwightEvans,,,Dwight Evans,,Dwight Evans (politician)
Kennedy,John,Neely,,,John Kennedy,sen,LA,,Republican,SenJohnKennedy,8.16683E+17,JohnKennedyLouisiana,,,John Neely Kennedy,,John Kennedy (Louisiana politician)
Hassan,Margaret,Wood,,Maggie,Margaret Wood Hassan,sen,NH,,Democrat,SenatorHassan,946549322,SenatorHassan,,,Maggie Hassan,,Maggie Hassan
Cortez Masto,Catherine,,,,Catherine Cortez Masto,sen,NV,,Democrat,SenCortezMasto,8.11314E+17,SenatorCortezMasto,,,Catherine Cortez Masto,,Catherine Cortez Masto
Schneider,Bradley,Scott,,Brad,Bradley Scott Schneider,rep,IL,10,Democrat,RepSchneider,1071840474,CongressmanBradSchneider,RepBradSchneider,,Brad Schneider,,Brad Schneider
Biggs,Andy,,,,Andy Biggs,rep,AZ,5,Republican,RepAndyBiggsAZ,8.16653E+17,RepAndyBiggs,,,Andy Biggs,,Andy Biggs
Khanna,Ro,,,,Ro Khanna,rep,CA,17,Democrat,RepRoKhanna,8.16299E+17,RepRoKhanna,,,Ro Khanna,,Ro Khanna
Panetta,Jimmy,,,,Jimmy Panetta,rep,CA,19,Democrat,RepJimmyPanetta,7.96737E+17,RepJimmyPanetta,,,Jimmy Panetta,,Jimmy Panetta
Carbajal,Salud,O.,,,Salud O. Carbajal,rep,CA,24,Democrat,RepCarbajal,8.16158E+17,repsaludcarbajal,repcarbajal,,Salud Carbajal,,Salud Carbajal
Barragán,Nanette,Diaz,,,Nanette Diaz Barragán,rep,CA,44,Democrat,RepBarragan,8.16834E+17,CongresswomanBarragan,,,Nanette Barragán,,Nanette Barragán
Correa,J.,Luis,,,J. Luis Correa,rep,CA,46,Democrat,RepLouCorrea,8.15985E+17,RepLouCorrea,,,Lou Correa,,Lou Correa
Blunt Rochester,Lisa,,,,Lisa Blunt Rochester,rep,DE,0,Democrat,RepLBR,8.1705E+17,Rep.BluntRochester,,,Lisa Blunt Rochester,,Lisa Blunt Rochester
Gaetz,Matt,,,,Matt Gaetz,rep,FL,1,Republican,RepMattGaetz,8.18949E+17,CongressmanMattGaetz,,,Matt Gaetz,,Matt Gaetz
Dunn,Neal,P.,,,Neal P. Dunn,rep,FL,2,Republican,DrNealDunnFL2,8.15952E+17,drnealdunnfl2,,,Neal Dunn,,Neal Dunn
Rutherford,John,H.,,,John H. Rutherford,rep,FL,5,Republican,RepRutherfordFL,8.28977E+17,RepRutherfordFL,,,John Rutherford (Florida),,John Rutherford (Florida politician)
Soto,Darren,,,,Darren Soto,rep,FL,9,Democrat,RepDarrenSoto,8.18713E+17,CongressmanDarrenSoto,repdarrensoto,,Darren Soto,,Darren Soto
Mast,Brian,J.,,,Brian J. Mast,rep,FL,21,Republican,RepBrianMast,8.14104E+17,repbrianmast,repbrianmast,,Brian Mast,,Brian Mast
Ferguson,A.,Drew,IV,,A. Drew Ferguson IV,rep,GA,3,Republican,RepDrewFerguson,8.06584E+17,RepDrewFerguson,,,Drew Ferguson,,Drew Ferguson (politician)
Krishnamoorthi,Raja,,,,Raja Krishnamoorthi,rep,IL,8,Democrat,CongressmanRaja,8.14179E+17,congressmanraja,,,Raja Krishnamoorthi,,Raja Krishnamoorthi
Banks,Jim,,,,Jim Banks,rep,IN,3,Republican,RepJimBanks,8.16131E+17,RepJimBanks,,,Jim Banks,,Jim Banks
Marshall,Roger,,,,Roger Marshall,sen,KS,,Republican,SenatorMarshall,1.33634E+18,,,,Roger Marshall,,Roger Marshall (politician)
Higgins,Clay,,,,Clay Higgins,rep,LA,3,Republican,RepClayHiggins,8.43637E+17,CongressmanClayHiggins,,,Clay Higgins,,Clay Higgins
Johnson,Mike,,,,Mike Johnson,rep,LA,4,Republican,RepMikeJohnson,8.2728E+17,RepMikeJohnson,,,Mike Johnson (Louisiana),,Mike Johnson (Louisiana politician)
Raskin,Jamie,,,,Jamie Raskin,rep,MD,8,Democrat,RepRaskin,8.06906E+17,repraskin,,,Jamie Raskin,,Jamie Raskin
Bergman,Jack,,,,Jack Bergman,rep,MI,1,Republican,RepJackBergman,8.15242E+17,RepJackBergman,RepJackBergman,,Jack Bergman,,Jack Bergman
Budd,Ted,,,,Ted Budd,sen,NC,,Republican,RepTedBudd,8.17138E+17,RepTedBudd,,,Ted Budd,,Ted Budd
Bacon,Don,,,,Don Bacon,rep,NE,2,Republican,RepDonBacon,8.18975E+17,RepDonBacon,,,Don Bacon,,Don Bacon
Gottheimer,Josh,,,,Josh Gottheimer,rep,NJ,5,Democrat,RepJoshG,8.15311E+17,RepJoshG,,,Josh Gottheimer,,Josh Gottheimer
Rosen,Jacky,,,,Jacky Rosen,sen,NV,,Democrat,SenJackyRosen,8.18554E+17,RepJackyRosen,,,,,Jacky Rosen
Espaillat,Adriano,,,,Adriano Espaillat,rep,NY,13,Democrat,RepEspaillat,8.17076E+17,RepEspaillat,,,Adriano Espaillat,,Adriano Espaillat
Fitzpatrick,Brian,K.,,,Brian K. Fitzpatrick,rep,PA,1,Republican,RepBrianFitz,8.16303E+17,repbrianfitzpatrick,,,Brian Fitzpatrick,,Brian Fitzpatrick (American politician)
Smucker,Lloyd,,,,Lloyd Smucker,rep,PA,11,Republican,RepSmucker,41417564,RepSmucker,,,Lloyd Smucker,,Lloyd Smucker
González-Colón,Jenniffer,,,,Jenniffer González-Colón,rep,PR,0,Republican,RepJenniffer,8.19745E+17,RepJennifferGonzalezColon,,,,,Jenniffer González
Kustoff,David,,,,David Kustoff,rep,TN,8,Republican,RepDavidKustoff,8.16012E+17,RepDavidKustoff,,,David Kustoff,,David Kustoff
Gonzalez,Vicente,,,,Vicente Gonzalez,rep,TX,34,Democrat,RepGonzalez,8.18536E+17,USCongressmanVicenteGonzalez,,,Vicente Gonzalez Jr.,,Vicente Gonzalez (politician)
Arrington,Jodey,C.,,,Jodey C. Arrington,rep,TX,19,Republican,RepArrington,8.16285E+17,JodeyArrington,,,Jodey Arrington,,Jodey Arrington
Jayapal,Pramila,,,,Pramila Jayapal,rep,WA,7,Democrat,RepJayapal,8.15733E+17,RepJayapal,,@RepJayapal@mastodon.social,Pramila Jayapal,,Pramila Jayapal
Gallagher,Mike,,,,Mike Gallagher,rep,WI,8,Republican,RepGallagher,8.15967E+17,RepMikeGallagher,,,Michael Gallagher (Wisconsin),,Mike Gallagher (American politician)
Estes,Ron,,,,Ron Estes,rep,KS,4,Republican,RepRonEstes,8.54715E+17,RepRonEstes,,,Ron Estes (U.S. House representative),,Ron Estes
Norman,Ralph,,,,Ralph Norman,rep,SC,5,Republican,RepRalphNorman,8.80481E+17,RepRalphNorman,,,Ralph Norman,,Ralph Norman
Gomez,Jimmy,,,,Jimmy Gomez,rep,CA,34,Democrat,RepJimmyGomez,2371339658,RepJimmyGomez,,,Jimmy Gomez,,Jimmy Gomez
Curtis,John,R.,,,John R. Curtis,rep,UT,3,Republican,RepJohnCurtis,9.31614E+17,RepJohnCurtis,,,John Curtis (Utah),,John Curtis (Utah politician)
Smith,Tina,Flint,,,Tina Smith,sen,MN,,Democrat,SenTinaSmith,9.41001E+17,USSenTinaSmith,,,Tina Smith,,Tina Smith
Hyde-Smith,Cindy,,,,Cindy Hyde-Smith,sen,MS,,Republican,SenHydeSmith,9.83348E+17,,,,Cindy Hyde-Smith,,Cindy Hyde-Smith
Lesko,Debbie,,,,Debbie Lesko,rep,AZ,8,Republican,RepDLesko,9.96095E+17,RepDebbieLesko,,,Debbie Lesko,,Debbie Lesko
Cloud,Michael,,,,Michael Cloud,rep,TX,27,Republican,RepCloudTX,1.03988E+18,,,,Michael Cloud (Texas),,Michael Cloud
Balderson,Troy,,,,Troy Balderson,rep,OH,12,Republican,RepBalderson,1.03734E+18,,,,Troy Balderson,,Troy Balderson
Hern,Kevin,R.,,,Kevin Hern,rep,OK,1,Republican,repkevinhern,1.06782E+18,,,,Kevin Hern,,Kevin Hern
Morelle,Joseph,D.,,,Joseph D. Morelle,rep,NY,25,Democrat,RepJoeMorelle,1.0646E+18,,,,Joseph Morelle,,Joseph Morelle
Scanlon,Mary,Gay,,,Mary Gay Scanlon,rep,PA,5,Democrat,RepMGS,1.06754E+18,,,,Mary Gay Scanlon,,Mary Gay Scanlon
Wild,Susan,Ellis,,,Susan Wild,rep,PA,7,Democrat,RepSusanWild,1.06964E+18,,,,Susan Wild,,Susan Wild
Case,Ed,,,,Ed Case,rep,HI,1,Democrat,RepEdCase,1.08135E+18,,,,Ed Case,,Ed Case
Horsford,Steven,A.,,,Steven Horsford,rep,NV,4,Democrat,RepHorsford,389840566,,,,Steven Horsford,,Steven Horsford
Stanton,Greg,,,,Greg Stanton,rep,AZ,4,Democrat,RepGregStanton,1.08089E+18,,,,Greg Stanton,,Greg Stanton
Harder,Josh,,,,Josh Harder,rep,CA,9,Democrat,RepJoshHarder,1.08085E+18,,,,Josh Harder,,Josh Harder
Porter,Katie,,,,Katie Porter,rep,CA,47,Democrat,RepKatiePorter,1.08122E+18,,,,Katie Porter,,Katie Porter
Levin,Mike,,,,Mike Levin,rep,CA,49,Democrat,RepMikeLevin,1.07213E+18,,,,,,Mike Levin
Neguse,Joe,,,,Joe Neguse,rep,CO,2,Democrat,RepJoeNeguse,1.07875E+18,,,,Joe Neguse,,Joe Neguse
Crow,Jason,,,,Jason Crow,rep,CO,6,Democrat,RepJasonCrow,1.08019E+18,,,,Jason Crow,,Jason Crow
Hayes,Jahana,,,,Jahana Hayes,rep,CT,5,Democrat,RepJahanaHayes,1.08209E+18,,,,Jahana Hayes,,Jahana Hayes
Waltz,Michael,,,,Michael Waltz,rep,FL,6,Republican,RepWaltzPress,1.08242E+18,,,,Michael Waltz,,Michael Waltz
Steube,W.,Gregory,,,W. Gregory Steube,rep,FL,17,Republican,RepGregSteube,1.08313E+18,,,,Greg Steube,,Greg Steube
McBath,Lucy,,,,Lucy McBath,rep,GA,7,Democrat,RepLucyMcBath,1.08238E+18,,,,Lucy McBath,,Lucy McBath
